rank,path,count
1,Accessible AI image-generation technology lacking... -> risk of AI being used to create and distribute non... -> fake nude images of female students were created a... -> psychological distress for victims and fear of lon... -> female high school students,1
2,AI model hallucination generating false legal info... -> Risk of reliance on AI-generated content without v... -> Law firm submitted legal brief containing six fict... -> Lawsuit dismissed and lawyers sanctioned with mone... -> Plaintiff seeking legal remedy and the attorneys i...,1
3,Malicious use of deepfake technology to create non... -> risk of AI-generated non-consensual deepfake porno... -> deepfake pornographic videos of the prime minister... -> reputational harm and defamation leading to legal... -> public figures and individuals whose likeness is u...,1
4,inadequate obstacle detection capability -> risk of AI system navigation failure -> security robot fell into a water fountain and beca... -> loss of security asset and damage to robot -> The Washington Harbour office and retail complex,1
5,"Use of nationality-based profiling in fraud detect... -> Risk of discriminatory social scoring through AI-d... -> Welfare recipients flagged and scrutinized based o... -> Breach of human rights to privacy, equality, and s... -> Welfare recipients in Denmark",1
6,"Misuse of deepfake AI technology to generate non-c... -> Risk of AI-generated deepfake sexual images being... -> Individuals generating and disseminating AI-genera... -> Potential harm and exploitation of children and no... -> Children, specifically teenage girls, and non-cons...",1
7,Resource-intensive hardware requirements of genera... -> Risk of increased electronic waste generation -> Significant addition of e-waste from high-performa... -> Exacerbation of the existing global e-waste proble... -> Global community and environment,1
8,AI-generated content without human verification -> risk of AI-generated misinformation -> false event was promoted and believed by the publi... -> public confusion and waste of police resources -> general public and law enforcement,1
9,"Deployment of powerful generative AI voice APIs wi... -> Risk of AI-facilitated automated phone scam operat... -> Cost-effective, automated phone scams mimicking tr... -> Large-scale financial fraud and identity theft tar... -> American consumers, particularly those vulnerable...",1
10,Inadequate content filtering against discredited s... -> Risk of AI search engines disseminating discredite... -> AI search features presented discredited race scie... -> Amplification of harmful racial pseudoscience and... -> Users of AI-powered search features seeking factua...,1
