stage,bucket_id,count,pct,top_samples
RiskSource,other,331,16.3%,Resource-intensive hardware requirements of generative AI models | AI image generator used to create promotional material | AI avatars used for automated news presentation with poor audio-visual quality a | novel adversarial attack technique | premature deployment of AI for public-facing roles without adequate disclosure o | inefficient energy consumption of AI systems | AI gunshot detection system produces inaccurate or unreliable alerts | AI-enabled software for automated bot farm generation and management | AI-generated synthetic media (AI snafu) | generative AI models capable of imitating an artist's distinctive style without 
RiskSource,facial_recognition,229,11.3%,facial recognition system used to enforce an attorney exclusion list | deployment of privacy-invasive facial recognition systems collecting sensitive b | Lack of sufficient diverse training data for facial recognition on children | Deployment of AI-powered surveillance without adequate privacy safeguards | Biometric data collection without adequate safeguards | lack of clarity on AI surveillance capabilities and regulatory gaps | AI-powered automated deception detection relying on non-verbal micro-gesture ana | AI system failure to differentiate humans from objects | Extensive surveillance infrastructure combined with facial recognition technolog | Unauthorized collection and AI processing of biometric data from internet images
RiskSource,autonomous_system,228,11.2%,inadequate obstacle detection capability | Inadequate sensor fusion and perception in autonomous navigation system | environmental perception failure in adverse weather conditions | Insufficient sensor-based hazard detection near staircases | autonomous vehicle stops for pedestrians without assessing threat context | Driver over-reliance on ADAS automation without maintaining attentiveness | Inadequate perception and decision-making in lane-merging scenarios | deployment of autonomous surveillance robot for public safety | Known deficiencies in AI model's ability to detect children and risky post-colli | exclusive reliance on camera-based perception without radar sensor fusion
RiskSource,deepfake_ncii,223,11.0%,Accessible AI image-generation technology lacking safeguards against generating  | Malicious use of deepfake technology to create non-consensual synthetic media | Misuse of deepfake AI technology to generate non-consensual intimate imagery | AI-powered image manipulation technology adapted from DeepNude | AI-powered nudification tools | powerful and accessible generative AI tools enabling non-consensual deepfake gen | Deepfake generation technology | unauthorized use of personal likeness via AI-generated content in commercial adv | Generative AI tools capable of producing realistic synthetic content | AI-generated deepfake technology enables unauthorized creation of realistic like
RiskSource,bias_discrimination,208,10.2%,Use of nationality-based profiling in fraud detection algorithms | Biased training data or algorithmic design | Algorithmic bias and manipulation in search engine results | inadequate training data for low-resource languages | biased training data from historical hiring patterns | biased algorithm in government fraud detection | Lack of diversity and insufficient content filtering in AI character generation | Use of a secretive AI-driven fraud detection algorithm with potential bias | Training data from unreliable or biased sources | Algorithmic decision-making in public sector resource allocation
RiskSource,content_moderation,196,9.6%,Inadequate content filtering against discredited scientific claims | AI-generated images without adequate authenticity labeling in search results | AI content moderation misclassification due to keyword confusion | accessibility of user-friendly generative AI model without adequate content rest | AI-generated deepfake and chatbot election misinformation | Inadequate safety restrictions on generative AI output | Inadequate content filtering of election misinformation | Unrestricted realistic image generation capability in accessible AI tools | inadequate spam filtering in AI-generated search results | inadequate content filtering in text-to-image generation model
RiskSource,training_data,186,9.1%,Unauthorized use of copyrighted YouTube content for AI training | Unauthorized web scraping of copyrighted journalistic content for AI model train | Unauthorized collection of copyrighted literary works for AI training data | unauthorized scraping and use of online images for training datasets without con | Unauthorized collection and processing of user-generated content for AI training | Continuous automated screenshot collection | unauthorized use of personal voice data for AI model training | Unauthorized use of copyrighted music as training data for voice cloning models | AI-generated content based on scraping/plagiarizing human-written articles witho | copyrighted content used for AI training without permission
RiskSource,hallucination,163,8.0%,AI model hallucination generating false legal information | AI-generated content without human verification | AI hallucination in large language models | model hallucination | AI-generated misinformation by chatbot | Generative AI language model hallucination and uncontrollable behavior | Generative AI chatbot trained on tax datasets without sufficient domain-specific | Inaccurate diagnostic output from AI model | AI-generated content published without verification | AI model providing inaccurate or outdated information in domain-specific queries
RiskSource,fraud_abuse,154,7.6%,AI chatbot designed to deceive users into believing it is human | faulty algorithm for fraud detection | AI-based generation of realistic fake identity documents | fraudulent AI capability claims | AI model enabling deceptive behavior when given insider information | Release of an open-source large language model without sufficient safeguards aga | AI-generated deepfake technology used to fabricate endorsements | AI-generated images used to enhance disinformation authenticity | Misuse of deepfake technology and AI-powered filters for identity deception | Low-cost AI avatar generation service enabling anonymous content creation
RiskSource,voice_clone,91,4.5%,Deployment of powerful generative AI voice APIs without adequate safeguards agai | AI voice assistant triggers from TV advertisement audio | Inadequate model behavior control in voice synthesis | democratization of accessible AI tools for voice cloning and avatar generation | AI-generated deepfake and voice cloning technology | Criminal exploitation of generative AI voice cloning technology | Lack of voice recognition distinguishing between authorized users and external a | AI-generated deepfake audio created using voice cloning technology | AI music generator enabling realistic fake vocal tracks | Generative AI trained on artists' voices without consent
RiskSource,missing,25,1.2%,
Risk,malicious_misuse,498,24.5%,risk of AI being used to create and distribute non-consensual deepfake pornograp | risk of AI-generated non-consensual deepfake pornography | Risk of AI-facilitated automated phone scam operations at scale | Risk of generating non-consensual explicit images of individuals | risk of AI-generated non-consensual intimate imagery | risk of AI-generated non-consensual intimate imagery | Risk of developing and deploying biased or inaccurate facial recognition models  | Risk of AI-generated fake endorsements | risk of AI being used to generate malicious code and phishing content | risk of trusted individuals' likenesses being deepfaked for health scams
Risk,ai_safety_failure,425,20.9%,risk of AI system navigation failure | Risk of AI-based content moderation systems erroneously flagging and banning leg | Risk of unintended purchase triggered by broadcast voice commands | Risk of autonomous delivery robot collision with vehicles | risk of autonomous navigation failure in snowy and icy conditions | Risk of AI-generated gunshot alerts being factually wrong or misleading | Risk of autonomous robot navigating into unsafe areas | risk of wrongful fraud accusations by automated system | risk of unintended physical harm from autonomous machinery | Risk of collision due to autonomous driving system failing to handle common road
Risk,discrimination_toxicity,377,18.5%,Risk of discriminatory social scoring through AI-driven welfare fraud detection | Risk of AI-generated deepfake sexual images being used to create child sexual ab | risk of AI-powered facial recognition being used to target and exclude perceived | Risk of demographic bias in facial recognition accuracy | risk of nonconsensual AI-generated intimate imagery | risk of AI-generated voice imitation infringing personality rights | risk of AI-generated harmful imagery | AI-generated violent and gruesome imagery | Risk of AI-generated violent and harmful imagery | Risk of AI model being trained on child sexual abuse material
Risk,misinformation,265,13.0%,Risk of reliance on AI-generated content without verification in professional se | risk of AI-generated misinformation | Risk of AI search engines disseminating discredited scientific misinformation | Risk of AI-generated content infringing on copyrighted material | risk of AI-generated images being mistaken as authentic reference material | Risk of AI-generated fabricated content being used in public communications | risk of AI-generated election misinformation | risk of AI-generated misinformation | Risk of AI-generated election misinformation | risk of AI-fabricated content dissemination
